Instance,Best,Worst,Average,Std
0.5_0.5_200_10_Tournament_zad1.txt_0.1,2565.0,3725.0,3255.0,407.9338181617209
0.5_0.5_200_10_Tournament_zad2.txt_0.1,2575.0,3630.0,3111.5,332.03200146973785
0.5_0.5_200_10_Tournament_zad3.txt_0.1,13650.0,15735.0,14446.0,588.5821947697705
0.5_0.5_200_15_Tournament_zad1.txt_0.1,2350.0,3290.0,2783.5,307.80716365932744
0.5_0.5_200_15_Tournament_zad2.txt_0.1,2430.0,3390.0,2896.5,269.94490178553104
0.5_0.5_200_15_Tournament_zad3.txt_0.1,11100.0,14535.0,12460.0,1024.677998202362
0.5_0.5_200_20_Tournament_zad1.txt_0.1,2065.0,3060.0,2480.5,361.9699573169022
0.5_0.5_200_20_Tournament_zad2.txt_0.1,2410.0,3390.0,2745.0,327.9252963709875
0.5_0.5_200_20_Tournament_zad3.txt_0.1,10240.0,13025.0,11413.0,716.2583332848561
0.5_0.5_200_25_Tournament_zad1.txt_0.1,2200.0,2920.0,2474.0,227.12111306525424
0.5_0.5_200_25_Tournament_zad2.txt_0.1,2145.0,2965.0,2501.0,251.8412198191551
0.5_0.5_200_25_Tournament_zad3.txt_0.1,9285.0,11890.0,10645.5,695.012409961146
0.5_0.5_200_30_Tournament_zad1.txt_0.1,1955.0,2770.0,2343.0,255.1979623743105
0.5_0.5_200_30_Tournament_zad2.txt_0.1,2070.0,2620.0,2387.5,201.26164562578734
0.5_0.5_200_30_Tournament_zad3.txt_0.1,9035.0,10945.0,9971.5,599.7084708422918
0.5_0.5_200_35_Tournament_zad1.txt_0.1,1965.0,2765.0,2281.5,231.74393195939348
0.5_0.5_200_35_Tournament_zad2.txt_0.1,1975.0,2270.0,2082.5,106.07190957081899
0.5_0.5_200_35_Tournament_zad3.txt_0.1,7105.0,9925.0,8764.0,808.3217181296071
0.5_0.5_200_40_Tournament_zad1.txt_0.1,1865.0,2670.0,2186.0,232.8819443409042
0.5_0.5_200_40_Tournament_zad2.txt_0.1,2000.0,2555.0,2195.0,168.3300329709467
0.5_0.5_200_40_Tournament_zad3.txt_0.1,7440.0,10000.0,8341.5,791.3471109443693
