Instance,Best,Worst,Average,Std
0.5_0.3_200_10_Tournament_zad1.txt_0.1,2655.0,4095.0,3230.0,361.3654659759286
0.5_0.3_200_10_Tournament_zad2.txt_0.1,2870.0,4070.0,3376.5,317.1990699860263
0.5_0.3_200_10_Tournament_zad3.txt_0.1,12465.0,15635.0,13738.5,850.5852397026414
0.5_0.4_200_10_Tournament_zad1.txt_0.1,2990.0,4050.0,3433.5,338.0314334496128
0.5_0.4_200_10_Tournament_zad2.txt_0.1,2845.0,3840.0,3150.5,318.4293485217718
0.5_0.4_200_10_Tournament_zad3.txt_0.1,13190.0,16150.0,14538.5,929.9060436409692
0.5_0.5_200_10_Tournament_zad1.txt_0.1,2605.0,4155.0,3179.5,427.06234907797716
0.5_0.5_200_10_Tournament_zad2.txt_0.1,2840.0,3520.0,3162.0,255.11957980523565
0.5_0.5_200_10_Tournament_zad3.txt_0.1,12455.0,16305.0,14105.0,1044.030650891055
0.5_0.6000000000000001_200_10_Tournament_zad1.txt_0.1,2565.0,3745.0,3205.0,313.6877428271624
0.5_0.6000000000000001_200_10_Tournament_zad2.txt_0.1,2585.0,4020.0,3100.5,412.3557323476903
0.5_0.6000000000000001_200_10_Tournament_zad3.txt_0.1,12660.0,15230.0,13783.0,745.2489516933251
0.5_0.7000000000000002_200_10_Tournament_zad1.txt_0.1,2530.0,3570.0,3182.5,280.5196071578598
0.5_0.7000000000000002_200_10_Tournament_zad2.txt_0.1,2915.0,3495.0,3183.5,214.34843129820194
0.5_0.7000000000000002_200_10_Tournament_zad3.txt_0.1,13235.0,14580.0,13809.0,421.0570032667786
