Instance,Best,Worst,Average,Std
0.5_0.5_10_10_Tournament_zad1.txt_0.1,8700.0,13580.0,10314.5,1407.3582521874096
0.5_0.5_10_10_Tournament_zad2.txt_0.1,7220.0,10600.0,9128.0,1097.4269907378805
0.5_0.5_10_10_Tournament_zad3.txt_0.1,26220.0,34745.0,29393.0,2494.97314614807
0.5_0.5_20_10_Tournament_zad1.txt_0.1,5395.0,9240.0,7005.5,1019.7952000279272
0.5_0.5_20_10_Tournament_zad2.txt_0.1,4425.0,7245.0,6032.0,888.5527558901609
0.5_0.5_20_10_Tournament_zad3.txt_0.1,20220.0,26575.0,22404.0,1899.723400919197
0.5_0.5_30_10_Tournament_zad1.txt_0.1,4695.0,6860.0,5529.0,729.1563618319461
0.5_0.5_30_10_Tournament_zad2.txt_0.1,3965.0,6470.0,5091.5,664.5112865858638
0.5_0.5_30_10_Tournament_zad3.txt_0.1,17295.0,22905.0,19693.0,1586.2033287066322
0.5_0.5_40_10_Tournament_zad1.txt_0.1,4100.0,6305.0,5172.0,627.7865879421126
0.5_0.5_40_10_Tournament_zad2.txt_0.1,3785.0,5405.0,4736.5,521.0232720330254
0.5_0.5_40_10_Tournament_zad3.txt_0.1,17170.0,22245.0,18858.5,1490.870634897609
0.5_0.5_50_10_Tournament_zad1.txt_0.1,4115.0,5845.0,4813.5,483.6737019933997
0.5_0.5_50_10_Tournament_zad2.txt_0.1,3830.0,5810.0,4419.0,516.6710752500086
0.5_0.5_50_10_Tournament_zad3.txt_0.1,16285.0,20850.0,18545.0,1433.8619180381352
0.5_0.5_60_10_Tournament_zad1.txt_0.1,3985.0,5215.0,4647.5,403.8579577029528
0.5_0.5_60_10_Tournament_zad2.txt_0.1,3145.0,5485.0,4165.0,608.0131577523631
0.5_0.5_60_10_Tournament_zad3.txt_0.1,14175.0,18370.0,16954.5,1252.3606708931736
0.5_0.5_70_10_Tournament_zad1.txt_0.1,3785.0,4745.0,4161.0,299.9483288834929
0.5_0.5_70_10_Tournament_zad2.txt_0.1,3050.0,5935.0,3918.5,833.771701366747
0.5_0.5_70_10_Tournament_zad3.txt_0.1,14460.0,18495.0,16860.0,1098.10063291121
0.5_0.5_80_10_Tournament_zad1.txt_0.1,3030.0,4710.0,3712.0,528.1817868878101
0.5_0.5_80_10_Tournament_zad2.txt_0.1,3290.0,4830.0,3916.0,411.94538472957794
0.5_0.5_80_10_Tournament_zad3.txt_0.1,14425.0,18780.0,16338.5,1324.4924499596061
0.5_0.5_90_10_Tournament_zad1.txt_0.1,3385.0,4585.0,4160.5,408.35921686671895
0.5_0.5_90_10_Tournament_zad2.txt_0.1,3175.0,4495.0,3972.5,428.48716433517586
0.5_0.5_90_10_Tournament_zad3.txt_0.1,13885.0,17585.0,15597.5,1157.2623946193016
