Instance,Best,Worst,Average,Std
0.5_0.5_100_10_Tournament_zad1.txt_0.1,2930.0,4600.0,3856.5,517.4024062564843
0.5_0.5_100_10_Tournament_zad2.txt_0.1,3290.0,4575.0,3984.5,446.8917654197714
0.5_0.5_100_10_Tournament_zad3.txt_0.1,13615.0,17010.0,15478.0,969.9051500017927
0.5_0.5_200_10_Tournament_zad1.txt_0.1,2845.0,3835.0,3321.5,273.1030025466582
0.5_0.5_200_10_Tournament_zad2.txt_0.1,2695.0,3695.0,3204.0,279.8017155058203
0.5_0.5_200_10_Tournament_zad3.txt_0.1,12485.0,16205.0,14346.5,1111.204414138101
0.5_0.5_300_10_Tournament_zad1.txt_0.1,2440.0,3400.0,2834.5,280.77081401028846
0.5_0.5_300_10_Tournament_zad2.txt_0.1,2680.0,3680.0,3179.5,321.7021137636494
0.5_0.5_300_10_Tournament_zad3.txt_0.1,11925.0,14925.0,13670.0,1055.2274636304724
0.5_0.5_400_10_Tournament_zad1.txt_0.1,2505.0,3465.0,2938.0,296.4304302867707
0.5_0.5_400_10_Tournament_zad2.txt_0.1,2610.0,3380.0,2959.5,230.28732053675904
0.5_0.5_400_10_Tournament_zad3.txt_0.1,11215.0,13875.0,12894.0,829.9210805853771
0.5_0.5_500_10_Tournament_zad1.txt_0.1,2280.0,3245.0,2623.0,285.2823163114041
0.5_0.5_500_10_Tournament_zad2.txt_0.1,2515.0,3170.0,2811.0,195.25368114327577
0.5_0.5_500_10_Tournament_zad3.txt_0.1,10685.0,14015.0,12191.0,848.6012019788801
0.5_0.5_600_10_Tournament_zad1.txt_0.1,2415.0,2835.0,2617.5,137.13588151902476
0.5_0.5_600_10_Tournament_zad2.txt_0.1,2595.0,2870.0,2762.0,95.63472172804185
0.5_0.5_600_10_Tournament_zad3.txt_0.1,10870.0,13195.0,12085.5,678.0945730501019
0.5_0.5_700_10_Tournament_zad1.txt_0.1,2255.0,2855.0,2605.5,175.6053814665143
0.5_0.5_700_10_Tournament_zad2.txt_0.1,2470.0,2935.0,2666.5,141.5812487584426
0.5_0.5_700_10_Tournament_zad3.txt_0.1,10535.0,12150.0,11515.5,492.80041599008416
0.5_0.5_800_10_Tournament_zad1.txt_0.1,2400.0,2690.0,2548.0,96.46761114488116
0.5_0.5_800_10_Tournament_zad2.txt_0.1,2370.0,3350.0,2689.5,250.35424901527037
0.5_0.5_800_10_Tournament_zad3.txt_0.1,10325.0,12470.0,11491.0,632.6602563777814
0.5_0.5_900_10_Tournament_zad1.txt_0.1,2210.0,2940.0,2516.0,198.16407343411166
0.5_0.5_900_10_Tournament_zad2.txt_0.1,2395.0,2805.0,2567.5,132.1031793712778
0.5_0.5_900_10_Tournament_zad3.txt_0.1,10020.0,12420.0,11533.5,647.0898314762796
0.5_0.5_1000_10_Tournament_zad1.txt_0.1,2130.0,2770.0,2396.5,192.19846513435013
0.5_0.5_1000_10_Tournament_zad2.txt_0.1,2310.0,2825.0,2657.0,142.63940549511554
0.5_0.5_1000_10_Tournament_zad3.txt_0.1,10200.0,12025.0,10943.5,496.75471814568607
