Instance,Best,Worst,Average,Std
0.3_0.5_200_10_Tournament_zad1.txt_0.1,3065.0,4455.0,3702.0,419.0835238947005
0.3_0.5_200_10_Tournament_zad2.txt_0.1,3120.0,4010.0,3413.5,281.4520385429816
0.3_0.5_200_10_Tournament_zad3.txt_0.1,13695.0,16325.0,15017.0,701.915949384255
0.4_0.5_200_10_Tournament_zad1.txt_0.1,2465.0,3885.0,3189.5,397.70875021804585
0.4_0.5_200_10_Tournament_zad2.txt_0.1,2770.0,3965.0,3389.0,376.20340243012157
0.4_0.5_200_10_Tournament_zad3.txt_0.1,11500.0,15900.0,13938.0,1274.8180262296262
0.5_0.5_200_10_Tournament_zad1.txt_0.1,2950.0,3540.0,3232.0,203.48464315520226
0.5_0.5_200_10_Tournament_zad2.txt_0.1,2705.0,3455.0,3137.0,201.0497450881249
0.5_0.5_200_10_Tournament_zad3.txt_0.1,11825.0,15565.0,13633.0,1115.6572054175065
0.6000000000000001_0.5_200_10_Tournament_zad1.txt_0.1,2655.0,3540.0,3103.5,292.2075461037925
0.6000000000000001_0.5_200_10_Tournament_zad2.txt_0.1,2905.0,3945.0,3242.5,313.11539406423316
0.6000000000000001_0.5_200_10_Tournament_zad3.txt_0.1,12610.0,15325.0,13993.0,895.9665172315314
0.7000000000000002_0.5_200_10_Tournament_zad1.txt_0.1,2765.0,3440.0,3129.0,207.63910999616618
0.7000000000000002_0.5_200_10_Tournament_zad2.txt_0.1,3030.0,4050.0,3450.0,273.72431386341987
0.7000000000000002_0.5_200_10_Tournament_zad3.txt_0.1,12810.0,15250.0,14142.5,705.6459806446856
