Instance,Best,Worst,Average,Std
0.5_0.5_200_10_Tournament_zad1.txt_0.05,2720.0,3800.0,3343.0,328.5285375732221
0.5_0.5_200_10_Tournament_zad2.txt_0.05,2595.0,3480.0,3099.5,239.33710535560508
0.5_0.5_200_10_Tournament_zad3.txt_0.05,13655.0,16060.0,14393.5,671.3309541500377
0.5_0.5_200_10_Tournament_zad1.txt_0.1,2370.0,3725.0,3186.0,364.38852890836176
0.5_0.5_200_10_Tournament_zad2.txt_0.1,2860.0,4000.0,3292.0,353.68912903848206
0.5_0.5_200_10_Tournament_zad3.txt_0.1,12335.0,16495.0,14325.0,1389.5790729569871
0.5_0.5_200_10_Tournament_zad1.txt_0.15000000000000002,2690.0,3570.0,3184.5,285.64357160629396
0.5_0.5_200_10_Tournament_zad2.txt_0.15000000000000002,2830.0,4000.0,3115.0,333.8337909798827
0.5_0.5_200_10_Tournament_zad3.txt_0.15000000000000002,12255.0,15835.0,13695.0,1079.7684937059425
0.5_0.5_200_10_Tournament_zad1.txt_0.2,2920.0,3635.0,3341.0,243.16455333785802
0.5_0.5_200_10_Tournament_zad2.txt_0.2,2460.0,3730.0,3221.5,330.3713819325155
0.5_0.5_200_10_Tournament_zad3.txt_0.2,12440.0,15670.0,14261.0,1005.307913029635
0.5_0.5_200_10_Tournament_zad1.txt_0.25,2875.0,4385.0,3521.0,481.07068087756085
0.5_0.5_200_10_Tournament_zad2.txt_0.25,2695.0,3560.0,3155.0,289.30952282978865
0.5_0.5_200_10_Tournament_zad3.txt_0.25,13330.0,17200.0,14418.0,1174.2257023247278
0.5_0.5_200_10_Tournament_zad1.txt_0.3,2810.0,3900.0,3457.0,318.1603369372116
0.5_0.5_200_10_Tournament_zad2.txt_0.3,2770.0,3870.0,3220.0,280.8558349046713
0.5_0.5_200_10_Tournament_zad3.txt_0.3,12140.0,16305.0,14248.0,1175.8681898920474
0.5_0.5_200_10_Tournament_zad1.txt_0.35000000000000003,2840.0,4305.0,3376.5,436.49770904324345
0.5_0.5_200_10_Tournament_zad2.txt_0.35000000000000003,2980.0,3985.0,3435.5,347.9400091969879
0.5_0.5_200_10_Tournament_zad3.txt_0.35000000000000003,14765.0,14920.0,14842.5,77.5
